,額外選擇層,,,後向新增層次,,,前向新增層次,,,對照組,,
model_id,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score
46,4714 ,96.10 ,96.09 ,7066 ,93.92 ,93.91 ,4714 ,95.21 ,95.21 ,7850 ,91.65 ,91.64 
47,4714 ,95.40 ,95.39 ,18826 ,93.24 ,93.22 ,4714 ,95.28 ,95.28 ,7850 ,91.69 ,91.68 
48,4714 ,95.76 ,95.76 ,18826 ,94.53 ,94.51 ,7850 ,91.60 ,91.59 ,7850 ,91.67 ,91.67 
49,4714 ,95.61 ,95.61 ,7850 ,91.62 ,91.61 ,4714 ,95.71 ,95.71 ,7850 ,91.60 ,91.59 
50,18826 ,94.78 ,94.76 ,7850 ,91.53 ,91.52 ,4714 ,95.55 ,95.54 ,7850 ,91.55 ,91.54 
51,4714 ,95.90 ,95.90 ,18826 ,93.58 ,93.56 ,4714 ,95.49 ,95.48 ,7850 ,91.67 ,91.66 
52,4714 ,95.64 ,95.64 ,18826 ,94.27 ,94.25 ,18826 ,94.81 ,94.79 ,7850 ,91.61 ,91.60 
53,4714 ,96.10 ,96.09 ,7066 ,93.58 ,93.57 ,4714 ,95.63 ,95.63 ,7850 ,91.66 ,91.66 
54,18826 ,95.18 ,95.16 ,7066 ,94.06 ,94.05 ,4714 ,95.50 ,95.49 ,7850 ,91.58 ,91.58 
55,4714 ,95.82 ,95.82 ,18826 ,94.59 ,94.57 ,4714 ,95.38 ,95.38 ,7850 ,91.58 ,91.57 
56,4714 ,96.08 ,96.08 ,7850 ,91.60 ,91.59 ,4714 ,95.59 ,95.58 ,7850 ,91.61 ,91.60 
57,4714 ,95.89 ,95.89 ,7850 ,91.67 ,91.67 ,4714 ,95.66 ,95.66 ,7850 ,91.59 ,91.58 
58,4714 ,95.89 ,95.88 ,7850 ,91.74 ,91.73 ,4714 ,95.42 ,95.42 ,7850 ,91.48 ,91.47 
59,18826 ,94.58 ,94.56 ,7850 ,91.55 ,91.55 ,4714 ,95.70 ,95.69 ,7850 ,91.50 ,91.50 
60,4714 ,96.25 ,96.25 ,7850 ,91.62 ,91.61 ,7850 ,91.54 ,91.54 ,7850 ,91.62 ,91.61 
61,4714 ,95.98 ,95.97 ,7066 ,93.76 ,93.75 ,4714 ,95.16 ,95.16 ,7850 ,91.54 ,91.54 
62,4714 ,96.26 ,96.25 ,18826 ,95.19 ,95.18 ,7850 ,91.56 ,91.55 ,7850 ,91.63 ,91.62 
63,4714 ,95.86 ,95.86 ,18826 ,94.34 ,94.32 ,4714 ,94.76 ,94.75 ,7850 ,91.59 ,91.58 
64,18826 ,95.05 ,95.03 ,18826 ,94.76 ,94.74 ,7850 ,91.65 ,91.65 ,7850 ,91.61 ,91.60 
65,4714 ,95.57 ,95.57 ,18826 ,93.30 ,93.28 ,4714 ,95.50 ,95.50 ,7850 ,91.72 ,91.71 
66,18826 ,94.75 ,94.73 ,7066 ,93.89 ,93.88 ,18826 ,94.43 ,94.41 ,7850 ,91.58 ,91.58 
67,4714 ,95.47 ,95.46 ,7850 ,91.54 ,91.53 ,4714 ,94.98 ,94.98 ,7850 ,91.62 ,91.61 
68,4714 ,95.51 ,95.51 ,18826 ,93.64 ,93.62 ,4714 ,95.50 ,95.49 ,7850 ,91.65 ,91.64 
69,4714 ,95.84 ,95.84 ,18826 ,94.34 ,94.32 ,18826 ,94.29 ,94.27 ,7850 ,91.60 ,91.59 
70,4714 ,96.02 ,96.02 ,18826 ,94.68 ,94.66 ,4714 ,95.73 ,95.73 ,7850 ,91.51 ,91.51 
71,4714 ,95.67 ,95.66 ,18826 ,94.22 ,94.21 ,4714 ,95.11 ,95.11 ,7850 ,91.61 ,91.60 
72,4714 ,95.80 ,95.79 ,18826 ,94.43 ,94.41 ,4714 ,95.40 ,95.40 ,7850 ,91.55 ,91.54 
73,18826 ,94.02 ,94.00 ,18826 ,94.66 ,94.64 ,18826 ,94.26 ,94.24 ,7850 ,91.62 ,91.61 
74,4714 ,96.00 ,96.00 ,18826 ,93.82 ,93.81 ,7850 ,91.62 ,91.61 ,7850 ,91.62 ,91.62 
75,18826 ,95.08 ,95.06 ,18826 ,93.77 ,93.75 ,4714 ,95.36 ,95.35 ,7850 ,91.59 ,91.58 
76,7850 ,91.64 ,91.63 ,18826 ,94.74 ,94.72 ,7850 ,91.57 ,91.56 ,7850 ,91.54 ,91.54 
77,4714 ,95.77 ,95.76 ,18826 ,94.90 ,94.88 ,4714 ,95.63 ,95.62 ,7850 ,91.67 ,91.66 
78,4714 ,96.00 ,96.00 ,18826 ,94.65 ,94.63 ,4714 ,95.14 ,95.14 ,7850 ,91.52 ,91.51 
79,4714 ,95.47 ,95.47 ,7850 ,91.60 ,91.60 ,4714 ,95.40 ,95.39 ,7850 ,91.70 ,91.69 
80,4714 ,95.60 ,95.60 ,7066 ,93.26 ,93.25 ,7850 ,91.58 ,91.57 ,7850 ,91.58 ,91.57 
81,4714 ,95.84 ,95.83 ,18826 ,93.73 ,93.71 ,4714 ,95.03 ,95.03 ,7850 ,91.65 ,91.65 
82,4714 ,95.34 ,95.34 ,18826 ,94.24 ,94.22 ,4714 ,95.31 ,95.31 ,7850 ,91.67 ,91.66 
83,4714 ,95.45 ,95.44 ,18826 ,94.75 ,94.73 ,4714 ,95.41 ,95.40 ,7850 ,91.55 ,91.54 
84,4714 ,96.06 ,96.06 ,18826 ,94.86 ,94.84 ,4714 ,95.27 ,95.27 ,7850 ,91.51 ,91.51 
85,4714 ,96.00 ,96.00 ,18826 ,94.19 ,94.17 ,4714 ,95.74 ,95.73 ,7850 ,91.58 ,91.58 
86,4714 ,95.22 ,95.21 ,7066 ,94.06 ,94.05 ,4714 ,95.31 ,95.31 ,7850 ,91.62 ,91.61 
87,7850 ,91.51 ,91.50 ,7066 ,93.25 ,93.24 ,4714 ,95.94 ,95.93 ,7850 ,91.47 ,91.46 
88,18826 ,95.27 ,95.25 ,7066 ,94.36 ,94.35 ,4714 ,95.37 ,95.36 ,7850 ,91.57 ,91.57 
89,18826 ,95.12 ,95.10 ,18826 ,93.75 ,93.73 ,4714 ,95.70 ,95.70 ,7850 ,91.64 ,91.63 
90,4714 ,95.40 ,95.39 ,18826 ,94.51 ,94.49 ,4714 ,95.43 ,95.42 ,7850 ,91.49 ,91.48 
91,4714 ,95.66 ,95.66 ,18826 ,93.94 ,93.92 ,4714 ,95.66 ,95.65 ,7850 ,91.69 ,91.68 
92,4714 ,95.68 ,95.68 ,18826 ,94.21 ,94.19 ,4714 ,95.43 ,95.42 ,7850 ,91.64 ,91.63 
93,18826 ,94.90 ,94.88 ,18826 ,94.07 ,94.05 ,4714 ,95.34 ,95.33 ,7850 ,91.58 ,91.58 
94,4714 ,95.54 ,95.53 ,18826 ,94.09 ,94.07 ,18826 ,94.18 ,94.17 ,7850 ,91.55 ,91.54 
95,4714 ,95.58 ,95.58 ,7850 ,91.62 ,91.61 ,7850 ,91.67 ,91.67 ,7850 ,91.56 ,91.55 
96,18826 ,95.02 ,95.00 ,18826 ,93.85 ,93.83 ,4714 ,95.31 ,95.30 ,7850 ,91.57 ,91.56 
97,4714 ,95.92 ,95.92 ,7066 ,93.99 ,93.98 ,4714 ,94.94 ,94.94 ,7850 ,91.54 ,91.53 
98,7066 ,94.07 ,94.06 ,18826 ,94.61 ,94.59 ,4714 ,95.44 ,95.43 ,7850 ,91.54 ,91.53 
99,4714 ,95.83 ,95.82 ,18826 ,93.90 ,93.88 ,4714 ,95.39 ,95.39 ,7850 ,91.58 ,91.58 
100,7850 ,91.53 ,91.53 ,18826 ,94.01 ,94.00 ,18826 ,94.65 ,94.63 ,7850 ,91.56 ,91.55 
mean,7293.36 ,95.20 ,95.20 ,15219.60 ,93.70 ,93.69 ,6909.20 ,94.66 ,94.66 ,7850.00 ,91.60 ,91.59 
std,5140.78 ,1.18 ,1.18 ,5288.08 ,1.14 ,1.13 ,4567.39 ,1.41 ,1.41 ,0.00 ,0.06 ,0.06 
