	額外選擇層			後向新增層次			前向新增層次			對照組		
model_id	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score
54	4714 	95.74 	95.74 	18826 	94.07 	94.05 	4714 	95.13 	95.13 	7850 	92.04 	92.03 
55	4714 	95.98 	95.98 	18826 	95.11 	95.09 	4714 	95.82 	95.82 	7850 	91.93 	91.92 
56	4714 	96.12 	96.12 	18826 	94.88 	94.86 	4714 	95.30 	95.30 	7850 	92.00 	91.99 
57	4714 	96.25 	96.25 	18826 	93.71 	93.69 	7850 	91.91 	91.90 	7850 	92.11 	92.10 
58	7850 	92.05 	92.04 	18826 	94.33 	94.31 	4714 	95.40 	95.40 	7850 	92.08 	92.07 
59	4714 	95.72 	95.72 	18826 	95.15 	95.13 	4714 	95.38 	95.38 	7850 	91.98 	91.97 
60	18826 	95.57 	95.55 	18826 	95.21 	95.19 	4714 	96.07 	96.07 	7850 	92.13 	92.12 
61	4714 	96.63 	96.63 	18826 	95.09 	95.07 	4714 	95.15 	95.15 	7850 	91.99 	91.98 
62	18826 	95.01 	94.99 	7850 	92.04 	92.03 	4714 	95.68 	95.68 	7850 	92.09 	92.08 
63	4714 	96.06 	96.06 	18826 	95.40 	95.38 	7850 	92.03 	92.02 	7850 	92.07 	92.06 
64	4714 	96.12 	96.12 	7066 	94.06 	94.05 	18826 	92.89 	92.87 	7850 	91.92 	91.91 
65	4714 	95.87 	95.87 	7850 	92.05 	92.04 	4714 	95.56 	95.56 	7850 	92.26 	92.25 
66	4714 	95.67 	95.67 	18826 	94.89 	94.87 	4714 	95.50 	95.50 	7850 	91.93 	91.92 
67	18826 	94.70 	94.68 	7066 	94.06 	94.05 	4714 	95.71 	95.71 	7850 	92.01 	92.00 
68	7850 	92.00 	91.99 	18826 	94.76 	94.74 	4714 	95.91 	95.91 	7850 	92.04 	92.03 
69	4714 	96.04 	96.04 	7850 	92.09 	92.08 	18826 	93.95 	93.93 	7850 	92.03 	92.02 
70	7850 	92.08 	92.07 	7850 	91.95 	91.94 	18826 	95.43 	95.41 	7850 	92.05 	92.04 
71	4714 	96.03 	96.03 	7850 	92.11 	92.10 	7850 	92.11 	92.10 	7850 	92.09 	92.08 
72	7066 	94.40 	94.39 	7850 	92.04 	92.03 	7850 	92.16 	92.15 	7850 	92.11 	92.10 
73	4714 	95.70 	95.70 	18826 	94.71 	94.69 	4714 	95.98 	95.98 	7850 	91.98 	91.97 
74	4714 	96.23 	96.23 	18826 	94.84 	94.82 	4714 	95.43 	95.43 	7850 	91.90 	91.89 
75	4714 	96.10 	96.10 	18826 	94.97 	94.95 	4714 	95.99 	95.99 	7850 	91.88 	91.87 
76	18826 	94.90 	94.88 	18826 	95.00 	94.98 	7850 	91.89 	91.88 	7850 	91.98 	91.97 
77	4714 	95.90 	95.90 	7850 	91.95 	91.94 	4714 	95.51 	95.51 	7850 	92.11 	92.10 
78	4714 	96.05 	96.05 	7850 	92.07 	92.06 	4714 	96.01 	96.01 	7850 	91.91 	91.90 
79	5106 	96.48 	96.47 	18826 	94.89 	94.87 	4714 	95.87 	95.87 	7850 	92.06 	92.05 
80	18826 	95.28 	95.26 	18826 	94.46 	94.44 	4714 	95.66 	95.66 	7850 	92.11 	92.10 
81	18826 	94.95 	94.93 	7066 	94.77 	94.76 	4714 	95.88 	95.88 	7850 	91.88 	91.87 
82	7066 	94.01 	94.00 	18826 	95.33 	95.31 	4714 	95.64 	95.64 	7850 	92.14 	92.13 
83	4714 	95.63 	95.63 	18826 	95.01 	94.99 	4714 	95.49 	95.49 	7850 	91.97 	91.96 
84	4714 	96.14 	96.14 	18826 	95.28 	95.26 	18826 	95.21 	95.19 	7850 	91.98 	91.97 
85	4714 	96.20 	96.20 	18826 	95.49 	95.47 	4714 	95.69 	95.69 	7850 	92.08 	92.07 
86	4714 	95.63 	95.63 	18826 	94.65 	94.63 	18826 	94.86 	94.84 	7850 	92.02 	92.01 
87	18826 	94.85 	94.83 	7850 	92.15 	92.14 	18826 	94.40 	94.38 	7850 	92.06 	92.05 
88	18826 	94.71 	94.69 	7066 	94.22 	94.21 	7850 	92.15 	92.14 	7850 	91.94 	91.93 
