model_id,parameter_count,accuracy
1,7850,69.83000183105469
2,7850,70.08999633789062
3,7850,70.05000305175781
4,7850,69.55000305175781
5,7850,69.94999694824219
6,7850,69.19000244140625
7,7850,69.8499984741211
8,7850,69.94999694824219
9,7850,70.04000091552734
10,7850,69.73999786376953
11,7850,69.86000061035156
12,7850,69.61000061035156
13,7850,69.9000015258789
14,7850,69.56999969482422
15,7850,70.23999786376953
16,7850,69.62000274658203
17,7850,69.9800033569336
18,7850,69.81999969482422
19,7850,70.05000305175781
20,7850,69.88999938964844
21,7850,69.95999908447266
22,7850,69.95999908447266
23,7850,69.94000244140625
24,7850,69.8499984741211
25,7850,69.63999938964844
26,7850,69.72000122070312
27,7850,70.12999725341797
28,7850,69.81999969482422
29,7850,69.79000091552734
30,7850,69.77999877929688
31,7850,69.63999938964844
32,7850,69.79000091552734
33,7850,69.6500015258789
34,7850,70.08999633789062
35,7850,69.7699966430664
36,7850,69.98999786376953
37,7850,69.62999725341797
38,7850,70.0
39,7850,69.69999694824219
40,7850,69.95999908447266
41,7850,69.66999816894531
42,7850,70.30999755859375
43,7850,69.6500015258789
44,7850,69.9000015258789
45,7850,70.19999694824219
46,7850,69.95999908447266
47,7850,69.51000213623047
48,7850,69.9800033569336
49,7850,70.08000183105469
50,7850,69.56999969482422
51,7850,70.16999816894531
52,7850,69.93000030517578
53,7850,69.88999938964844
54,7850,69.94999694824219
55,7850,70.30000305175781
56,7850,70.02999877929688
57,7850,69.43000030517578
58,7850,69.58999633789062
59,7850,70.02999877929688
60,7850,69.55999755859375
61,7850,69.75
62,7850,69.76000213623047
63,7850,70.69000244140625
64,7850,70.30000305175781
65,7850,69.8499984741211
66,7850,70.0999984741211
67,7850,69.93000030517578
68,7850,69.8499984741211
69,7850,70.26000213623047
70,7850,70.0
71,7850,70.37999725341797
72,7850,69.69999694824219
73,7850,69.73999786376953
74,7850,69.94999694824219
75,7850,69.69999694824219
76,7850,69.68000030517578
77,7850,69.69000244140625
78,7850,70.12000274658203
79,7850,69.94999694824219
80,7850,69.91000366210938
81,7850,70.05999755859375
82,7850,69.58000183105469
83,7850,70.37000274658203
84,7850,70.43000030517578
85,7850,70.0999984741211
86,7850,69.33000183105469
87,7850,69.51000213623047
88,7850,69.93000030517578
89,7850,69.94000244140625
90,7850,70.19000244140625
91,7850,69.62999725341797
92,7850,70.12000274658203
93,7850,69.93000030517578
94,7850,70.1500015258789
95,7850,69.69000244140625
96,7850,69.66999816894531
97,7850,69.66999816894531
98,7850,70.08999633789062
99,7850,70.33000183105469
100,7850,69.97000122070312
